id,fase,sortorder,gammel_tittel,gammel_tittel_en,ny_tittel,ny_tittel_en,handling,v6_kilde,begrunnelse
OP-118,Gjennomføre,600,,,"Implementere og verifisere tiltak for informasjonssikkerhet og personvern, inkludert sikkerhetstesting","Implement and verify measures for information security and privacy, including security testing",ny,prosjektfasene/utvikle-fasens-produkter/46,"Eksplisitt v6-krav, inkl. syntetiske testdata der det er mulig."
OP-051,Avslutte,510,Komplettere ev. restanseliste og overlevere endelig leveranse til linjeorganisasjonen,Complete any remaining tasks and hand over final deliverables to the line organization,"Dokumentere og få akseptert gjenstående eller uferdig arbeid, og overlevere til linjen","Document remaining or unfinished work, have it accepted, and hand it over to the line organization",omformuler,prosjektfasene/overlevere-til-linjen-og-stotte-innforing/62,"v6-terminologien «gjenstående/uferdig arbeid» med krav om aksept."
OP-052,Avslutte,520,Levere ev. avtalt støtte til linjeorganisasjonen i innføringsfasen,Provide agreed support to the line organization during the implementation phase,"Støtte innføringen: kompetanseoverføring, opplæring og veiledning","Support the adoption: knowledge transfer, training and guidance",omformuler,prosjektfasene/overlevere-til-linjen-og-stotte-innforing/62,"v6 konkretiserer innføringsstøtten."
OP-053,Avslutte,530,Sørge for at alle relevante kontrakter og avtaler er formelt avsluttet,Ensure that all relevant contracts and agreements are formally closed,Lukke eller overføre kontrakter og avtaleforhold til linjen,Close contracts and agreements or transfer them to the line organization,omformuler,prosjektfasene/lukke-kontrakter-og-okonomi/58,"v6 åpner for overføring av avtaleforhold (serviceavtaler, lisenser, garantier) til linjen."
OP-054,Avslutte,540,Oppdatere og avslutte prosjektregnskapet,Update and close the project accounts,,,behold,prosjektfasene/lukke-kontrakter-og-okonomi/58,"Uendret innhold i v6."
OP-055,Avslutte,550,"Avslutte og arkivere prosjektetdokumentasjonen (produkt, kost, tid, kvalitet, ressursbruk)","Close and archive project documentation (product, cost, time, quality, resource usage)","Arkivere styringsdokumentasjon og sluttdokumentasjon, inkludert dokumentasjon fra risikovurderinger, personvernarbeid og sikkerhetstester","Archive the governance documentation and final documentation, including documentation from risk assessments, privacy work and security tests",omformuler,prosjektfasene/sluttdokumentasjon-arkivering-og-laering/61,"v6 utvider arkiveringskravet med sikkerhets- og personverndokumentasjon; retter også skrivefeil i dagens tittel."
OP-056,Avslutte,560,Dokumentere positive og negative erfaringer for erfaringsoverføring til organisasjonens erfaringslogg,Document positive and negative experiences for knowledge transfer to the organization's experience log,,,behold,prosjektfasene/sluttdokumentasjon-arkivering-og-laering/61,"Uendret innhold i v6."
OP-057,Avslutte,570,Oppdatere prosjektbegrunnelse og gevinstrealiseringsplan (husk at planlagte effektmålinger bør inngå som en del av virksomhetens ordinære styringsprosesser for å sikre måloppnåelse,Update project justification and benefits realization plan (remember that planned effect measurements should be part of the organization's ordinary management processes to ensure goal achievement),"Oppdatere plan for nyttestyring sammen med linjen og nytteansvarlig(e), og klargjøre for videre oppfølging","Update the benefit management plan together with the line organization and those responsible for benefits, and prepare it for further follow-up",omformuler,prosjektfasene/oppdatere-plan-nyttestyring/60,"Egen v6-aktivitet; TERM-002/003. Planen skal vise realisert og gjenstående nytte, tiltak, ansvar og målepunkter."
OP-058,Avslutte,580,Evaluere prosjektet og utarbeide sluttrapport,Evaluate the project and prepare final report,"Evaluere prosjektet og utarbeide sluttrapport, målt mot mål og akseptansekriterier for styringsparameterne","Evaluate the project and prepare the final report, measured against objectives and acceptance criteria for the performance targets",omformuler,prosjektfasene/sluttdokumentasjon-arkivering-og-laering/61,"v6: sluttrapporten sammenligner resultat med akseptansekriteriene (område G)."
OP-059,Avslutte,590,Informere alle relevante interessenter om avslutning av prosjektet?,Inform all relevant stakeholders about project closure,,,fjern,prosjektfasene/hva-er-avslutningsfasen/54,"Ikke egen aktivitet i v6; dekkes av oppdatert interessentanalyse i avslutningsfasen."
OP-060,Avslutte,600,"Utarbeide/samle nødvendig styringsdokumentasjon (sluttrapport, oppdatert prosjektbegrunnelse og gevinstrealiseringplan med restrisiko) til vedtak i Beslutningspunkt 5 (BP5)","Develop/collect necessary steering documentation (final report, updated project justification and benefits realization plan with residual risk) for decision at Decision Point 5 (DP5)",Ferdigstille sluttrapport og oppdatert plan for nyttestyring til vedtak i Beslutningspunkt 5 (BP5),Complete the final report and the updated benefit management plan for decision at Decision Point 5 (DP5),omformuler,prosjektfasene/bp5-beslutte-avslutning-av-prosjektet/63,"BP5 besluttes på grunnlag av sluttrapporten og oppdatert plan for nyttestyring (TERM-002)."
OP-061,Avslutte,610,Gjennomføre BP5 (sjekkliste og ev. faseovergang) og vurdere om man skal avslutte prosjektet og gå til realiseringsfasen,Conduct DP5 (checklist and possible phase transition) and assess whether to close the project and proceed to the realization phase,Gjennomføre BP5 (sjekkliste og ev. faseovergang) og beslutte formell avslutning av prosjektet,Conduct DP5 (checklist and possible phase transition) and decide on the formal closure of the project,omformuler,prosjektfasene/bp5-beslutte-avslutning-av-prosjektet/63,"v6-tittelen på BP5."
OP-062,Avslutte,620,Formelt oppløse prosjektorganisasjonen ('KickOut'),Formally dissolve the project organization ('KickOut'),Formelt oppløse prosjektorganisasjonen og frigjøre ressursene,Formally dissolve the project organization and release the resources,omformuler,prosjektfasene/bp5-beslutte-avslutning-av-prosjektet/63,"v6: «Når BP5 er godkjent, kan prosjektgruppen oppløses og prosjektets ressurser frigjøres»; «KickOut» er ikke et v6-begrep."
OP-119,Avslutte,100,,,Gjennomgå faseplanen for avslutningsfasen ved oppstart av fasen,Review the phase plan for the closing phase at the start of the phase,ny,prosjektfasene/gjennomga-faseplanen-avslutningsfasen/55,"Egen v6-aktivitet for god faseovergang."
OP-120,Avslutte,200,,,"Overføre kunnskap om informasjonssikkerhet og personvern til linjen, og verifisere at sikkerhetstiltak virker","Transfer knowledge about information security and privacy to the line organization, and verify that security measures work",ny,prosjektfasene/overlevere-til-linjen-og-stotte-innforing/62,"Eksplisitt v6-krav før prosjektet avsluttes."
OP-121,Avslutte,300,,,"Overføre produktvisjon, produktkø og dokumentasjon fra arbeidsverktøy til produktteam ved videre produktorganisering","Transfer the product vision, product backlog and documentation from work tools to the product team when product organization continues",ny,prosjektfasene/overlevere-til-linjen-og-stotte-innforing/62 + prosjektfasene/sluttdokumentasjon-arkivering-og-laering/61,"Nytt i v6: overlevering til produktteam (område I)."
OP-063,Realisere,630,Sørge for at planlagte målinger og tiltak er gjennomført i henhold til gevinstrealiseringplanen,Ensure that planned measurements and measures are carried out according to the benefits realization plan,Gjennomføre tiltakene i plan for nyttestyring og måle effekter med avtalte indikatorer,Carry out the measures in the benefit management plan and measure effects with the agreed indicators,omformuler,prosjektfasene/folge-opp-nyttevirkninger-og-iverksette-tiltak/65,"Gevinstrealiseringsplan → plan for nyttestyring (TERM-002)."
OP-064,Realisere,640,Måle om forventede gevinster er oppnådd eller er om det behov for ytterligere tiltak. I så fall utarbeidet en tiltaksplan,"Measure whether expected benefits have been achieved or if there is a need for additional measures. If so, develop an action plan","Vurdere avvik fra forventede nyttevirkninger, og iverksette nye eller justerte tiltak ved behov","Assess deviations from the expected benefits, and initiate new or adjusted measures when needed",omformuler,prosjektfasene/folge-opp-nyttevirkninger-og-iverksette-tiltak/65,"Gevinster → nyttevirkninger (TERM-001); nytteansvarlig vurderer behovet for nye tiltak."
OP-065,Realisere,650,Gjennomføre avtalte effektmålinger for vedtak i Beslutningspunkt 6 (BP6),Carry out agreed effect measurements for decision at Decision Point 6 (DP6),Rapportere status for nyttevirkninger til virksomhetsledelsen til vedtak i Beslutningspunkt 6 (BP6),Report the status of benefits to executive management for decision at Decision Point 6 (DP6),omformuler,prosjektfasene/folge-opp-nyttevirkninger-og-iverksette-tiltak/65 + prosjektfasene/bp6-beslutte-videre-tiltak-okt-nyttevirkning/68,"BP6 besluttes av virksomhetsledelsen på grunnlag av målinger og oppdatert plan for nyttestyring."
OP-066,Realisere,660,"Gjennomføre BP6 (sjekkliste) og vurdere om man har oppnådd ønsket effekt, og ev. vurdere nye tiltak","Conduct DP6 (checklist) and assess whether the desired effect has been achieved, and possibly consider new measures",Gjennomføre BP6 (sjekkliste) og beslutte videre tiltak for økt nyttevirkning,Conduct DP6 (checklist) and decide on further measures for increased benefits,omformuler,prosjektfasene/bp6-beslutte-videre-tiltak-okt-nyttevirkning/68,"v6-tittelen på BP6; kan gjennomføres flere ganger."
OP-122,Realisere,100,,,Gjennomføre evaluering av konseptvalget og utarbeide konseptevalueringsrapport,Carry out the evaluation of the concept choice and prepare the concept evaluation report,ny,prosjektfasene/evaluering-av-konseptvalget/66,"Egen v6-aktivitet; malen Konseptevalueringsrapport hører til realiseringsfasen."
OP-123,Realisere,200,,,Følge opp at sikkerhets- og personverntiltak fortsatt virker etter at løsningen er tatt i bruk,Follow up that security and privacy measures still work after the solution has been taken into use,ny,prosjektfasene/folge-opp-nyttevirkninger-og-iverksette-tiltak/65,"Nytt v6-krav i realiseringsfasen."
OP-124,Realisere,300,,,Oppdatere plan for nyttestyring og planlegge eventuelle nye BP6-gjennomganger,Update the benefit management plan and schedule any further DP6 reviews,ny,prosjektfasene/folge-opp-nyttevirkninger-og-iverksette-tiltak/65 + prosjektfasene/bp6-beslutte-videre-tiltak-okt-nyttevirkning/68,"v6: BP6 kan gjennomføres flere ganger; tidspunktene beskrives i plan for nyttestyring."
